12723,66,2,FD,9,0,0,0
13824,67,2,FD,9,0,0,0
22692,36,0,FE,1,0,0,0
22711,C6,2,FE,1,0,0,0
22745,C1,2,F,0,0,0,0
22779,31,0,FA,1,24,0,0
22811,31,0,FA,1,23,0,0
22829,31,0,FA,1,22,0,0
22845,31,0,9,0,0,0,0
22861,31,0,C,0,0,0,0
22877,31,0,B,0,0,0,0
23628,30,0,2,0,64,0,0
23695,C1,2,F,0,0,0,0
23930,C7,2,FE,1,0,0,0
23964,37,0,FE,1,0,0,0
24167,D2,0,FA,0,5,0,C8
24184,D2,0,FA,0,8,0,BE
24263,D2,0,FA,0,11,1,D
25063,D2,0,FA,1,E,0,3D
25709,30,0,2,0,64,0,0
25725,30,0,58,1,0,0,0
25742,30,0,6E,1,0,0,0
27694,C0,2,58,1,0,0,0
27716,C0,2,29,A,0,0,0
27735,C0,2,2A,1E,0,0,0
27752,C0,2,FA,1,F,0,0
27789,C0,2,12,0,C8,0,0
27824,C1,2,11,0,0,0,0
27842,C1,2,12,0,0,0,0
27877,C1,2,F,0,0,0,0
27911,C1,2,4,0,0,0,0
28962,C0,2,11,1,D,0,0
28983,C0,2,75,1,EB,0,0
29184,30,0,2,0,6D,0,0
33686,22,0,FA,1,99,1,A0
33803,22,0,FA,1,9A,0,3
33836,30,0,2,0,DB,0,0
35800,C0,2,4,0,A9,0,0
35819,C0,2,4,0,A9,0,0
43612,D2,0,FA,14,10,18,58
43628,D2,0,FA,14,11,80,80
43645,D2,0,FA,14,12,80,80
43662,D2,0,FA,14,20,18,58
43678,D2,0,FA,14,21,80,80
43698,D2,0,FA,14,22,80,80
44524,D2,0,FA,14,30,18,58
44542,D2,0,FA,14,31,80,80
44576,D2,0,FA,14,32,80,80
44593,D2,0,FA,14,40,18,58
44610,D2,0,FA,14,41,80,80
44626,D2,0,FA,14,42,80,80
45531,D2,0,FA,14,50,18,58
45548,D2,0,FA,14,51,80,80
45564,D2,0,FA,14,52,80,80
45582,D2,0,FA,14,60,1C,5C
45598,D2,0,FA,14,61,80,80
45615,D2,0,FA,14,62,80,80
46528,D2,0,FA,14,70,1C,5C
46546,D2,0,FA,14,71,80,80
46564,D2,0,FA,14,72,80,80
72918,C0,2,11,1,D,0,0
72938,C0,2,75,1,EC,0,0
72956,D2,0,FA,1,99,1,A0
72976,D2,0,FA,1,9A,0,3
72992,30,0,6E,2,0,0,0
77562,C0,2,4,0,A3,0,0
77582,30,0,2,0,D5,0,0
79523,D2,0,FA,4E,A7,80,0
84526,31,0,9,0,0,0,0
84544,D2,0,FA,0,5,0,C8
84578,D2,0,FA,0,8,0,BE
84610,D2,0,FA,0,11,1,D
85540,D2,0,FA,1,E,0,3D
103621,D2,0,FA,14,10,18,58
103657,D2,0,FA,14,11,80,80
103673,D2,0,FA,14,12,80,80
103691,D2,0,FA,14,20,18,58
103707,D2,0,FA,14,21,80,80
103724,D2,0,FA,14,22,80,80
104536,D2,0,FA,14,30,18,58
104554,D2,0,FA,14,31,80,80
104590,D2,0,FA,14,32,80,80
104606,D2,0,FA,14,40,18,58
104626,D2,0,FA,14,41,80,80
104642,D2,0,FA,14,42,80,80
105541,D2,0,FA,14,50,18,58
105559,D2,0,FA,14,51,80,80
105575,D2,0,FA,14,52,80,80
105592,D2,0,FA,14,60,1C,5C
105609,D2,0,FA,14,61,80,80
105625,D2,0,FA,14,62,80,80
106536,D2,0,FA,14,70,1C,5C
106555,D2,0,FA,14,71,80,80
106572,D2,0,FA,14,72,80,80
132930,C0,2,11,1,D,0,0
133803,C0,2,75,1,EC,0,0
134683,D2,0,FA,1,99,1,A0
134700,D2,0,FA,1,9A,0,3
139543,D2,0,FA,4E,A7,80,0
144541,31,0,9,0,0,0,0
144560,D2,0,FA,0,5,0,C8
144595,D2,0,FA,0,8,0,BE
144632,D2,0,FA,0,11,1,D
145552,D2,0,FA,1,E,0,3D
163630,D2,0,FA,14,10,18,58
163646,D2,0,FA,14,11,80,80
163665,D2,0,FA,14,12,80,80
163682,D2,0,FA,14,20,18,58
163699,D2,0,FA,14,21,80,80
163716,D2,0,FA,14,22,80,80
164550,D2,0,FA,14,30,18,58
164569,D2,0,FA,14,31,80,80
164604,D2,0,FA,14,32,80,80
164621,D2,0,FA,14,40,18,58
164638,D2,0,FA,14,41,80,80
164655,D2,0,FA,14,42,80,80
165549,D2,0,FA,14,50,18,58
165566,D2,0,FA,14,51,80,80
165584,D2,0,FA,14,52,80,80
165602,D2,0,FA,14,60,1C,5C
165618,D2,0,FA,14,61,80,80
165638,D2,0,FA,14,62,80,80
166547,D2,0,FA,14,70,1C,5C
166565,D2,0,FA,14,71,80,80
166583,D2,0,FA,14,72,80,80
192937,C0,2,11,1,D,0,0
193810,C0,2,75,1,EC,0,0
194688,D2,0,FA,1,99,1,A0
194704,D2,0,FA,1,9A,0,3
199546,D2,0,FA,4E,A7,80,0
204548,31,0,9,0,0,0,0
